28,079,036,08,08,02,2017,05,31,00015,V,00025,V,00008,V,00016,V,00012,V,00020,V,00037,V,00045,V,00057,V,00053,V,00035,V,00026,V,00022,V,00026,V,00023,V,00025,V,00042,V,00049,V,00050,V,00038,V,00000,N,00000,N,00000,N,00000,N
28,079,036,10,47,02,2017,05,31,00011,V,00011,V,00010,V,00007,V,00009,V,00009,V,00011,V,00011,V,00017,V,00023,V,00030,V,00032,V,00031,V,00035,V,00025,V,00023,V,00023,V,00024,V,00029,V,00023,V,00000,N,00000,N,00000,N,00000,N
28,079,036,12,08,02,2017,05,31,00017,V,00027,V,00010,V,00017,V,00014,V,00022,V,00039,V,00051,V,00091,V,00094,V,00051,V,00038,V,00030,V,00037,V,00031,V,00034,V,00054,V,00058,V,00067,V,00048,V,00000,N,00000,N,00000,N,00000,N
28,079,038,01,38,02,2017,05,31,00002,V,00002,V,00002,V,00002,V,00002,V,00002,V,00002,V,00002,V,00003,V,00003,V,00003,V,00003,V,00003,V,00002,V,00002,V,00003,V,00003,V,00003,V,00003,V,00002,V,00000,N,00000,N,00000,N,00000,N
28,079,038,07,08,02,2017,05,31,00004,V,00001,V,00004,V,00002,V,00001,V,00002,V,00002,V,00013,V,00026,V,00024,V,00016,V,00013,V,00048,V,00010,V,00009,V,00012,V,00019,V,00019,V,00023,V,00017,V,00000,N,00000,N,00000,N,00000,N
28,079,038,08,08,02,2017,05,31,00029,V,00020,V,00021,V,00011,V,00010,V,00014,V,00021,V,00041,V,00052,V,00054,V,00045,V,00033,V,00046,V,00032,V,00028,V,00032,V,00064,V,00068,V,00070,V,00063,V,00000,N,00000,N,00000,N,00000,N
28,079,038,09,47,02,2017,05,31,00006,V,00007,V,00005,V,00004,V,00003,V,00006,V,00007,V,00003,V,00010,V,00013,V,00012,V,00011,V,00013,V,00013,V,00016,V,00013,V,00010,V,00012,V,00010,V,00007,V,00000,N,00000,N,00000,N,00000,N
28,079,038,10,47,02,2017,05,31,00011,V,00011,V,00008,V,00006,V,00005,V,00009,V,00010,V,00005,V,00016,V,00023,V,00023,V,00025,V,00030,V,00037,V,00032,V,00023,V,00019,V,00021,V,00018,V,00015,V,00000,N,00000,N,00000,N,00000,N
28,079,038,12,08,02,2017,05,31,00035,V,00021,V,00027,V,00014,V,00013,V,00016,V,00024,V,00060,V,00093,V,00091,V,00068,V,00053,V,00120,V,00048,V,00042,V,00050,V,00094,V,00098,V,00106,V,00090,V,00000,N,00000,N,00000,N,00000,N
28,079,038,20,59,02,2017,05,31,001.2,V,001.3,V,004.0,V,002.9,V,002.0,V,001.3,V,001.1,V,001.0,V,001.4,V,002.1,V,002.3,V,002.0,V,001.8,V,002.0,V,001.9,V,001.6,V,001.6,V,002.7,V,003.5,V,002.5,V,00000,N,00000,N,00000,N,00000,N
28,079,038,30,59,02,2017,05,31,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.1,V,000.1,V,000.1,V,000.4,V,000.7,V,000.6,V,000.5,V,000.4,V,000.4,V,000.4,V,000.3,V,000.4,V,000.7,V,000.8,V,000.7,V,00000,N,00000,N,00000,N,00000,N
28,079,038,35,59,02,2017,05,31,000.5,V,000.5,V,000.5,V,000.5,V,000.5,V,000.4,V,000.5,V,000.4,V,000.5,V,000.6,V,000.7,V,000.6,V,000.5,V,000.7,V,000.7,V,000.5,V,000.7,V,001.0,V,000.8,V,000.9,V,00000,N,00000,N,00000,N,00000,N
28,079,039,06,48,02,2017,05,31,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.2,V,000.3,V,000.9,V,000.7,V,000.3,V,000.3,V,000.3,V,000.3,V,000.2,V,000.3,V,000.2,V,000.2,V,000.3,V,000.2,V,00000,N,00000,N,00000,N,00000,N
28,079,039,07,08,02,2017,05,31,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00005,V,00015,V,00015,V,00012,V,00011,V,00007,V,00007,V,00007,V,00004,V,00002,V,00002,V,00004,V,00002,V,00000,N,00000,N,00000,N,00000,N
28,079,039,08,08,02,2017,05,31,00018,V,00007,V,00007,V,00008,V,00012,V,00011,V,00024,V,00043,V,00051,V,00047,V,00039,V,00034,V,00026,V,00026,V,00024,V,00022,V,00025,V,00025,V,00025,V,00026,V,00000,N,00000,N,00000,N,00000,N
28,079,039,12,08,02,2017,05,31,00019,V,00008,V,00008,V,00010,V,00013,V,00013,V,00026,V,00051,V,00074,V,00070,V,00058,V,00051,V,00036,V,00036,V,00035,V,00028,V,00027,V,00029,V,00031,V,00030,V,00000,N,00000,N,00000,N,00000,N
28,079,039,14,06,02,2017,05,31,00064,V,00076,V,00076,V,00074,V,00069,V,00068,V,00052,V,00032,V,00027,V,00039,V,00059,V,00075,V,00091,V,00101,V,00109,V,00112,V,00100,V,00098,V,00110,V,00100,V,00000,N,00000,N,00000,N,00000,N
28,079,040,01,38,02,2017,05,31,00009,V,00009,V,00009,V,00009,V,00009,V,00009,V,00009,V,00009,V,00009,V,00010,V,00009,V,00009,V,00009,V,00009,V,00009,V,00009,V,00008,V,00008,V,00008,V,00008,V,00000,N,00000,N,00000,N,00000,N
28,079,040,07,08,02,2017,05,31,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00001,V,00008,V,00015,V,00017,V,00010,V,00005,V,00005,V,00004,V,00005,V,00004,V,00004,V,00005,V,00007,V,00006,V,00000,N,00000,N,00000,N,00000,N
28,079,040,08,08,02,2017,05,31,00014,V,00033,V,00020,V,00017,V,00014,V,00018,V,00038,V,00063,V,00060,V,00058,V,00037,V,00024,V,00022,V,00020,V,00019,V,00017,V,00032,V,00043,V,00049,V,00039,V,00000,N,00000,N,00000,N,00000,N
28,079,040,10,47,02,2017,05,31,00010,V,00011,V,00010,V,00008,V,00008,V,00007,V,00008,V,00012,V,00017,V,00026,V,00028,V,00024,V,00028,V,00029,V,00028,V,00024,V,00024,V,00026,V,00031,V,00023,V,00000,N,00000,N,00000,N,00000,N
28,079,040,12,08,02,2017,05,31,00016,V,00034,V,00022,V,00018,V,00015,V,00020,V,00040,V,00074,V,00083,V,00084,V,00052,V,00031,V,00030,V,00027,V,00027,V,00023,V,00039,V,00051,V,00060,V,00047,V,00000,N,00000,N,00000,N,00000,N
28,079,047,07,08,02,2017,05,31,00001,V,00003,V,00001,V,00001,V,00001,V,00001,V,00002,V,00008,V,00016,V,00018,V,00005,V,00004,V,00003,V,00002,V,00001,V,00001,V,00001,V,00003,V,00002,V,00002,V,00000,N,00000,N,00000,N,00000,N
28,079,047,08,08,02,2017,05,31,00016,V,00025,V,00015,V,00015,V,00022,V,00025,V,00037,V,00058,V,00062,V,00059,V,00029,V,00024,V,00018,V,00015,V,00009,V,00011,V,00025,V,00042,V,00029,V,00029,V,00000,N,00000,N,00000,N,00000,N
